id,icao_24bit,heading,altitude,ground_speed,squawk,aircraft_code,registration,time,origin_airport_iata,destination_airport_iata,number,airline_iata,on_ground,vertical_speed,callsign,airline_icao
34577d32,780F1D,352,2850,202,,A320,B-8337,1710304747,HYN,PEK,CA1852,CA,0,-1088,CCA1852,CCA
345790ba,7809A5,5,24875,431,,A332,B-5918,1710304799,SZX,PVG,CA1894,CA,0,-1984,CCA1894,CCA
34578790,781246,28,7675,225,,A20N,B-8891,1710304763,SQD,PEK,CA1896,CA,0,-512,CCA1896,CCA
34578273,780D85,355,975,152,,B738,B-1766,1710304763,NTG,PEK,CA1900,CA,0,-832,CCA1900,CCA
34575b17,7812E0,283,28400,445,,B38M,B-1397,1710304799,PEK,URC,CA1901,CA,0,0,CCA1901,CCA
34576b72,780E77,199,11800,322,,B738,B-6498,1710304795,PEK,ZUH,CA1905,CA,0,0,CCA1905,CCA
34579177,78068C,184,32100,404,,A321,B-6701,1710304799,PEK,ZUH,CA1907,CA,0,0,CCA1907,CCA
34579fd3,780ACC,195,32125,429,,A321,B-9919,1710304795,PEK,NNG,CA1935,CA,0,0,CCA1935,CCA
34579b5a,780BF5,359,33100,402,,B738,B-1947,1710304799,KWL,PEK,CA1940,CA,0,-64,CCA1940,CCA
34575e52,780B45,175,5825,237,,A332,B-5932,1710304763,PEK,HAK,CA1949,CA,0,0,CCA1949,CCA
3457a40e,78063A,164,19900,394,,A333,B-6513,1710304799,PVG,TPE,CA195,CA,0,1728,CCA195,CCA
3457a880,780694,346,24600,402,,A320,B-1687,1710304797,HUZ,PEK,CA1958,CA,0,0,CCA1958,CCA
3457add7,78186F,128,27150,455,,A20N,B-30DE,1710304799,KRY,TFU,CA2502,CA,0,1472,CCA2502,CCA
34575d52,781E12,189,10975,313,,A20N,B-32AR,1710304795,URC,TFU,CA2506,CA,0,-896,CCA2506,CCA
3457779d,781C6E,149,33100,474,,A20N,B-326A,1710304791,KRL,TFU,CA2522,CA,0,0,CCA2522,CCA
34579bdc,780352,85,35100,576,,A319,B-6237,1710304799,LZY,TFU,CA2534,CA,0,0,CCA2534,CCA
3457a218,780067,275,34100,317,,A319,B-6044,1710304799,TFU,LXA,CA2537,CA,0,0,CCA2537,CCA
345798fb,7815C4,215,30075,401,,A20N,B-305J,1710304799,TFU,LUM,CA2549,CA,0,0,CCA2549,CCA
34579d25,780063,81,29100,526,,A319,B-2364,1710304799,TFU,NKG,CA2623,CA,0,64,CCA2623,CCA
345795dc,798038,88,24600,490,,A319,B-6037,1710304799,TFU,CZX,CA2627,CA,0,0,CCA2627,CCA
34578174,781CA7,247,0,6,,A20N,B-326V,1710304725,TFU,ZHA,CA2661,CA,1,0,CCA2661,CCA
34578877,781920,22,4025,186,,A20N,B-30EJ,1710304775,BHY,TFU,CA2672,CA,0,-576,CCA2672,CCA
34579e41,781CE2,277,32125,386,,A21N,B-327R,1710304799,SWA,TFU,CA2674,CA,0,-64,CCA2674,CCA
34578d2f,7817AE,318,27600,385,,A21N,B-30AG,1710304796,ZUH,TFU,CA2678,CA,0,0,CCA2678,CCA
